"BaseClass"             "npc_dota_creature"
"Model"                 "models/heroes/dragon_knight/dragon_knight.vmdl"
"ModelScale"            "0.8"
"Level"                 "2"
"HealthBarOffset"       "140"
"HasInventory"          "1"

"Ability1"              "custom_ability"

"ArmorPhysical"         "2"
"MagicalResistance"     "0"

"AttackCapabilities"    "DOTA_UNIT_CAP_MELEE_ATTACK"
"AttackDamageType"      "DAMAGE_TYPE_ArmorPhysical"
"AttackDamageMin"       "12.0"
"AttackDamageMax"       "13.0"
"AttackRate"            "1.35"
"AttackAnimationPoint"  "0.5"
"AttackAcquisitionRange" "500"
"AttackRange"           "90"

"BountyGoldMin"         "26.0"
"BountyGoldMax"         "38.0"

"BoundsHullName"        "DOTA_HULL_SIZE_HERO"
"RingRadius"            "70"

"MovementCapabilities"  "DOTA_UNIT_CAP_MOVE_GROUND"
"MovementSpeed"         "270"
"MovementTurnRate"      "0.6"

"StatusHealth"          "420"
"StatusHealthRegen"     "0.25"
"StatusMana"            "0"
"StatusManaRegen"       "0"

"VisionDaytimeRange"    "1400"
"VisionNighttimeRange"  "800"

"TeamName"              "DOTA_TEAM_NEUTRALS"
"CombatClassAttack"     "DOTA_COMBAT_CLASS_ATTACK_BASIC"
"CombatClassDefend"     "DOTA_COMBAT_CLASS_DEFEND_STRONG"
"UnitRelationShipClass" "DOTA_NPC_UNIT_RELATIONSHIP_TYPE_DEFAULT"
